,precision,recall,f1-score,support
0.0,1.0,1.0,1.0,18.0
1.0,1.0,1.0,1.0,18.0
2.0,1.0,1.0,1.0,18.0
3.0,1.0,1.0,1.0,18.0
4.0,1.0,1.0,1.0,18.0
5.0,0.9473684210526315,1.0,0.972972972972973,18.0
6.0,1.0,1.0,1.0,18.0
7.0,1.0,1.0,1.0,18.0
8.0,1.0,1.0,1.0,18.0
9.0,1.0,0.9444444444444444,0.9714285714285714,18.0
accuracy,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445
macro avg,0.9947368421052631,0.9944444444444445,0.9944401544401543,180.0
weighted avg,0.9947368421052631,0.9944444444444445,0.9944401544401545,180.0
